#RtAcc (float32)[1],CommandState (uint8)[1]
-267.19116,2
-494.0163,2
-443.35965,2
-245.61938,2
-153.18115,2
-137.59818,2
-126.80049,2
-85.00074,2
-24.749128,2
41.372166,2
103.2719,2
154.56029,2
192.21179,2
215.62158,2
225.69524,2
224.15686,2
213.0838,2
194.61774,2
170.79669,2
143.46504,2
114.231964,2
84.45897,2
55.26473,2
27.539526,2
1.9647293,2
-20.96548,2
-40.921844,2
-57.718193,2
-71.29057,2
-81.67754,2
-89.001785,2
-93.4529,2
-95.27158,2
-94.73492,2
-92.143196,2
-87.808136,2
-82.04281,2
-75.153496,2
-67.43354,2
-59.1592,2
-50.58734,2
-41.95471,2
-33.478085,2
-25.354841,2
-17.763182,2
-10.86151,2
-4.786504,2
0.35026166,2
4.4670577,2
7.517748,2
9.497968,2
10.450996,2
10.472508,2
9.713388,2
8.379865,2
6.730335,2
5.0684466,2
3.732208,2
3.0791516,2
3.4678602,2
5.23647,2
8.679079,2
14.021301,2
21.39649,2
30.824327,2
42.19362,2
55.250977,2
69.59702,2
84.69118,2
99.86582,2
114.34988,2
127.30137,2
137.84798,2
145.13377,2
148.3701,2
146.88777,2
140.18733,2
127.98417,2
110.24462,2
87.21001,2
59.405888,2
27.63457,2
-7.0497746,2
-43.382954,2
-79.94799,2
-115.244995,2
-147.77011,2
-176.09927,2
-198.97229,2
-215.37239,2
-224.59676,2
-226.3139,2
-220.60408,2
-207.97842,2
-189.372,2
-166.10187,2
-139.77516,2
-112.12052,2
-84.70609,2
-58.518673,2
-33.465866,2
-8.0883,2
19.862906,2
50.86993,2
80.60439,2
104.202705,2
123.26939,2
142.03731,2
137.91821,2
89.45643,2
11.146875,2
-81.7254,2
-168.28473,2
-232.36728,2
-277.1624,2
-305.83444,2
-320.3065,2
-321.06024,2
-307.7436,2
-280.1592,2
-239.02605,2
-186.0893,2
-123.69625,2
-54.296852,2
19.831669,2
96.66029,2
174.4143,2
251.54199,2
326.6157,2
398.2091,2
464.87137,2
525.2712,2
578.45734,2
624.10583,2
662.64716,2
695.2436,2
723.6453,2
749.978,2
776.5069,2
805.40717,2
838.5524,2
877.3231,2
922.433,2
973.77576,2
1030.2976,2
1089.9087,2
1149.4468,2
1204.7057,2
1250.5304,2
1280.9724,2
1289.4885,2
1269.1748,2
1213.071,2
1114.5825,2
967.9339,2
768.5517,2
513.4544,2
201.74129,2
-164.94612,2
-582.21844,2
-1043.1085,2
-1538.5409,2
-2057.9092,2
-2589.5999,2
-3121.4136,2
-3640.9016,2
-4135.649,2
-4593.518,2
-5002.839,2
-5352.538,2
-5632.2485,2
-5832.438,2
-5944.64,2
-5961.78,2
-5878.5635,2
-5691.839,2
-5400.838,2
-5007.254,2
-4515.1465,2
-3930.7185,2
-3261.9988,2
-2518.5076,2
-1710.9546,2
-851.035,2
48.63337,2
974.41876,2
1911.4744,2
2850.1328,2
3778.8665,2
4670.2407,2
5493.6455,2
6222.1045,2
6826.294,2
7276.207,2
7545.179,2
7638.177,2
7607.592,2
7552.7026,2
7561.5483,2
7612.214,2
7639.095,2
7633.4907,2
7634.598,2
7637.052,2
7620.0654,2
7621.3003,2
7638.2866,2
7638.4087,2
7634.9214,2
7620.322,2
7638.6934,2
7610.3184,2
7116.8984,2
5945.5913,2
4249.447,2
2340.064,2
430.93362,2
-1478.1816,2
-3387.162,2
-5206.7417,2
-6659.24,2
-7475.7896,2
-7638.965,2
-7541.6445,2
-7570.901,2
-7639.1367,2
-7634.4624,2
-7628.3447,2
-7639.266,2
-7638.348,2
-7636.265,2
-7639.081,2
-7637.384,2
-7639.153,2
-7637.5522,2
-7639.211,2
-7638.1465,2
-7639.2627,2
-7638.0757,2
-7639.244,2
-7639.2563,2
-7639.1523,2
-7639.212,2
-7639.149,2
-7639.2573,2
-7639.05,2
-7639.2935,2
-7637.751,2
-7639.305,2
-7616.365,2
-7639.27,2
-6743.574,2
-4854.0034,2
-2944.5388,2
-1034.9547,2
874.6628,2
2784.274,2
4693.8364,2
6603.253,2
7637.997,2
7639.205,2
7634.0117,2
7639.276,2
7612.35,2
7639.2866,2
7633.405,2
7639.297,2
7633.758,2
7639.3027,2
7635.9604,2
7639.318,2
7637.338,2
7639.329,2
7637.486,2
7639.345,2
7636.2856,2
7639.3604,2
7639.0503,2
7639.367,2
7639.2373,2
7639.372,2
7639.3057,2
7639.378,2
7639.336,2
7639.3833,2
7639.3506,2
7639.3857,2
7639.3555,2
7639.386,2
7639.3516,2
7639.3833,2
7639.3325,2
7639.377,2
7639.265,2
7639.3677,2
7608.5537,2
6592.4663,2
4682.7417,2
2772.977,2
863.2037,2
-1046.5646,2
-2956.311,2
-4865.987,2
-6754.8325,2
-7639.3345,2
-7638.0493,2
-7639.3335,2
-7612.1606,2
-7639.3125,2
-7639.0234,2
-7639.275,2
-7639.024,2
-7638.8643,2
-7638.8286,2
-7617.492,2
-7639.1064,2
-7563.95,2
-7138.69,2
-6463.4043,2
-5855.361,2
-5564.388,2
-5686.4453,2
