#RtAcc (float32)[1],CommandState (uint8)[1]
-731.026,2
-732.9119,2
-736.51904,2
-741.8466,2
-745.84955,2
-747.5776,2
-747.67426,2
-747.808,2
-747.356,2
-744.8341,2
-740.9232,2
-737.2456,2
-733.1633,2
-727.19727,2
-720.0505,2
-713.2876,2
-706.26575,2
-697.53186,2
-687.7991,2
-678.5645,2
-669.1884,2
-658.2607,2
-646.4954,2
-635.31384,2
-624.08575,2
-611.4578,2
-598.1383,2
-585.4648,2
-572.82184,2
-558.92395,2
-544.46783,2
-530.70044,2
-517.0253,2
-502.23358,2
-487.00513,2
-472.4905,2
-458.1161,2
-442.75705,2
-427.07272,2
-412.11246,2
-397.32877,2
-381.68698,2
-365.82144,2
-350.6758,2
-335.7323,2
-320.05188,2
-304.2407,2
-289.13303,2
-274.24417,2
-258.7352,2
-243.18082,2
-228.30281,2
-213.65292,2
-198.49652,2
-183.37363,2
-168.8904,2
-154.63759,2
-139.98758,2
-125.44253,2
-111.490845,2
-97.765396,2
-83.74852,2
-69.90136,2
-56.592247,2
-43.499504,2
-30.218483,2
-17.166798,2
-4.5912423,2
7.781764,2
20.242523,2
32.420307,2
44.19141,2
55.778557,2
67.355995,2
78.6027,2
89.519135,2
100.27386,2
110.92304,2
121.19791,2
131.22397,2
141.11305,2
150.80228,2
160.07805,2
169.19164,2
178.19551,2
186.90715,2
195.17087,2
203.36417,2
211.47742,2
219.20728,2
226.4583,2
233.73451,2
240.96179,2
247.71565,2
253.9635,2
260.33542,2
266.68994,2
272.4812,2
277.74194,2
283.2285,2
288.73022,2
293.57993,2
297.87796,2
302.5064,2
307.18347,2
311.1209,2
314.48904,2
318.29468,2
322.18253,2
325.24356,2
327.71988,2
330.7425,2
333.88095,2
336.1061,2
337.73376,2
340.0177,2
342.4502,2
343.88275,2
344.70682,2
346.2981,2
348.0703,2
348.75656,2
348.8254,2
349.7724,2
350.9313,2
350.91818,2
350.28043,2
350.632,2
351.22537,2
350.56094,2
349.26627,2
349.0718,2
349.14847,2
347.88275,2
345.9834,2
345.29492,2
344.9052,2
343.08832,2
340.63507,2
339.50162,2
338.69263,2
336.37234,2
333.41452,2
331.88437,2
330.70355,2
327.92938,2
324.51923,2
322.64404,2
321.1417,2
317.9642,2
314.1525,2
311.98032,2
310.2022,2
306.6681,2
302.50272,2
300.07916,2
298.06918,2
294.2236,2
289.75067,2
287.1189,2
284.91812,2
280.8037,2
276.06702,2
273.26828,2
270.91632,2
266.57404,2
261.61517,2
258.68732,2
256.21945,2
251.68622,2
246.5431,2
243.52094,2
240.97148,2
236.28596,2
231.00049,2
227.92403,2
225.33153,2
220.5335,2
215.14462,2
212.04755,2
209.44304,2
204.56586,2
199.10767,2
196.01936,2
193.42953,2
188.5017,2
183.00264,2
179.94644,2
177.39233,2
172.43756,2
166.92181,2
163.91682,2
161.4152,2
156.45282,2
150.93973,2
148.00009,2
145.5638,2
140.61102,2
135.11937,2
132.25902,2
129.9002,2
124.97305,2
119.51994,2
116.75113,2
114.480736,2
109.59425,2
104.195366,2
101.52819,2
99.3549,2
94.522156,2
89.19142,2
86.63446,2
84.56533,2
79.79752,2
74.54636,2
72.10478,2
70.14324,2
65.448235,2
60.284775,2
57.960503,2
56.107124,2
51.490623,2
46.421337,2
44.214333,2
42.46663,2
37.92972,2
32.95505,2
30.858795,2
29.209322,2
24.751194,2
19.872944,2
17.885172,2
16.332125,2
11.9567,2
7.1784997,2
5.295049,2
3.8315625,2
-0.46402895,2
-5.1458645,2
-6.9363794,2
-8.323366,2
-12.545867,2
-17.136246,2
-18.843504,2
-20.163189,2
-24.316315,2
-28.819952,2
-30.456867,2
-31.724306,2
-35.817436,2
-40.24299,2
-41.82479,2
-43.05595,2
-47.09881,2
-51.45545,2
-52.99761,2
-54.20809,2
-58.209755,2
-62.505802,2
-64.02246,2
-65.22537,2
-69.19017,2
-73.42669,2
-74.923065,2
-76.12277,2
-80.048996,2
-84.2256,2
-85.71003,2
-86.91774,2
-90.81219,2
-94.936455,2
-96.42336,2
-97.65335,2
-101.5235,2
-105.60269,2
-107.10551,2
-108.370255,2
-112.219925,2
-116.25467,2
-117.77824,2
-119.08208,2
-122.90929,2
-126.897835,2
-128.44687,2
-129.79439,2
-133.5974,2
-137.53793,2
-139.11613,2
-140.50974,2
-144.28267,2
-148.16669,2
-149.76924,2
-151.20251,2
-154.93234,2
-158.7473,2
-160.36824,2
-161.83633,2
-165.5135,2
-169.2506,2
-170.88696,2
-172.38655,2
-176.00114,2
-179.64957,2
-181.29463,2
-182.81721,2
-186.35359,2
-189.89688,2
-191.5389,2
-193.07307,2
-196.51611,2
-199.94089,2
-201.57266,2
-203.11197,2
-206.45045,2
-209.74625,2
-211.36241,2
-212.90059,2
-216.12178,2
-219.27393,2
-220.86182,2
-222.38448,2
-225.46942,2
-228.46065,2
-230.00847,2
-231.50362,2
-234.43484,2
-237.24625,2
-238.73726,2
-240.18765,2
-242.94533,2
-245.56015,2
-246.98384,2
-248.37976,2
-250.9495,2
-253.3517,2
-254.69267,2
-256.016,2
-258.37497,2
-260.54205,2
-261.78073,2
-263.01163,2
-265.137,2
-267.0471,2
-268.16473,2
-269.28494,2
-271.15732,2
-272.79355,2
-273.7762,2
-274.77045,2
-276.3699,2
-277.7106,2
-278.5373,2
-279.38437,2
-280.689,2
-281.7146,2
-282.36783,2
-283.04993,2
-284.0405,2
-284.73312,2
-285.1967,2
-285.69724,2
-286.35556,2
-286.69748,2
-286.954,2
-287.2555,2
-287.56454,2
-287.54135,2
-287.57867,2
-287.66953,2
-287.61713,2
-287.21674,2
-287.02106,2
-286.88547,2
-286.45517,2
-285.66226,2
-285.21872,2
-284.84286,2
-284.0228,2
-282.82788,2
-282.12732,2
-281.5023,2
-280.28506,2
-278.6825,2
-277.71838,2
-276.83658,2
-275.21436,2
-273.1957,2
-271.9565,2
-270.8053,2
-268.76736,2
-266.3239,2
-264.7999,2
-263.3699,2
-260.9096,2
-258.03635,2
-256.22034,2
-254.5039,2
-251.61563,2
-248.3075,2
-246.19139,2
-244.18019,2
-240.85913,2
-237.11346,2
-234.69244,2
-232.3816,2
-228.62613,2
-224.44214,2
-221.71153,2
-219.09637,2
-214.90654,2
-210.28653,2
-207.24564,2
-204.32513,2
-199.703,2
-194.64906,2
-191.29495,2
-188.06534,2
-183.0115,2
-177.52519,2
-173.85411,2
-170.31029,2
-164.82384,2
-158.90572,2
-154.915,2
-151.057,2
-145.14636,2
-138.80843,2
-134.50626,2
-130.34172,2
-124.01873,2
-117.27253,2
-112.66411,2
-108.19757,2
-101.47212,2
-94.328415,2
-89.41911,2
-84.65664,2
-77.54196,2
